datetime,temperature_C,power_draw_W,utilization_MiB,memory_used_MiB,memory_total_percentage
2018-02-24 02:00:16.920867,89,90.21,2822,8114,100
2018-02-24 02:00:26.957861,88,90.05,2822,8114,100
2018-02-24 02:00:36.991818,89,90.14,2822,8114,100
2018-02-24 02:00:47.020534,88,90.17,2822,8114,100
2018-02-24 02:00:57.054553,88,90.21,2822,8114,100
2018-02-24 02:01:07.090688,89,90.21,2822,8114,100
2018-02-24 02:01:17.130952,89,90.17,2822,8114,100
2018-02-24 02:01:27.166402,88,90.05,2822,8114,100
2018-02-24 02:01:37.207088,88,90.09,2822,8114,100
2018-02-24 02:01:47.243288,88,90.05,2822,8114,100
2018-02-24 02:01:57.289167,88,90.09,2822,8114,100
2018-02-24 02:02:07.319719,88,90.21,2822,8114,100
2018-02-24 02:02:17.347061,89,90.02,2822,8114,100
2018-02-24 02:02:27.389813,88,90.17,2822,8114,100
2018-02-24 02:02:37.422115,88,90.14,2822,8114,100
2018-02-24 02:02:47.453585,88,90.17,2822,8114,100
2018-02-24 02:02:57.488263,88,90.14,2822,8114,100
2018-02-24 02:03:07.528668,88,90.05,2822,8114,100
2018-02-24 02:03:17.559611,88,90.05,2822,8114,100
2018-02-24 02:03:27.582013,88,90.17,2822,8114,100
2018-02-24 02:03:37.619023,88,90.14,2822,8114,100
2018-02-24 02:03:47.649919,88,90.21,2822,8114,100
2018-02-24 02:03:57.682292,88,90.14,2822,8114,100
2018-02-24 02:04:07.714829,88,90.14,2822,8114,100
2018-02-24 02:04:17.747989,88,90.05,2822,8114,100
2018-02-24 02:04:27.783037,88,90.05,2822,8114,100
2018-02-24 02:04:37.818730,88,90.02,2822,8114,100
2018-02-24 02:04:47.857443,88,89.98,2822,8114,100
2018-02-24 02:04:57.888517,88,90.09,2822,8114,100
2018-02-24 02:05:07.920785,88,90.09,2822,8114,100
2018-02-24 02:05:17.953765,88,90.17,2822,8114,100
2018-02-24 02:05:27.987581,88,90.14,2822,8114,100
2018-02-24 02:05:38.037886,88,90.14,2822,8114,100
2018-02-24 02:05:48.081904,88,89.98,2822,8114,100
2018-02-24 02:05:58.126171,88,89.83,2822,8114,100
2018-02-24 02:06:08.151383,88,90.02,2822,8114,100
2018-02-24 02:06:18.183950,88,89.98,2822,8114,100
2018-02-24 02:06:28.213429,88,90.05,2822,8114,100
2018-02-24 02:06:38.257660,88,90.17,2822,8114,100
2018-02-24 02:06:48.279852,88,90.05,2822,8114,100
2018-02-24 02:06:58.321571,88,90.02,2822,8114,100
2018-02-24 02:07:08.360260,88,90.21,2822,8114,100
2018-02-24 02:07:18.401212,88,90.14,2822,8114,100
2018-02-24 02:07:28.445444,88,90.14,2822,8114,100
2018-02-24 02:07:38.476689,88,90.21,2822,8114,100
2018-02-24 02:07:48.508044,88,90.05,2822,8114,100
2018-02-24 02:07:58.533669,88,90.05,2822,8114,100
2018-02-24 02:08:08.581826,88,90.05,2822,8114,100
2018-02-24 02:08:18.631935,88,90.09,2822,8114,100
2018-02-24 02:08:28.660855,88,90.09,2822,8114,100
2018-02-24 02:08:38.700119,88,90.02,2822,8114,100
2018-02-24 02:08:48.743835,88,90.05,2822,8114,100
2018-02-24 02:08:58.773832,88,90.02,2822,8114,100
2018-02-24 02:09:08.815766,88,90.02,2822,8114,100
2018-02-24 02:09:18.853710,88,90.05,2822,8114,100
2018-02-24 02:09:28.886168,88,90.05,2822,8114,100
2018-02-24 02:09:38.928669,88,90.05,2822,8114,100
2018-02-24 02:09:48.967047,88,90.14,2822,8114,100
2018-02-24 02:09:59.009463,88,90.05,2822,8114,100
2018-02-24 02:10:09.040342,88,90.10,2822,8114,100
2018-02-24 02:10:19.082078,88,90.05,2822,8114,100
2018-02-24 02:10:29.115463,88,90.05,2822,8114,100
2018-02-24 02:10:39.146946,88,90.14,2822,8114,100
2018-02-24 02:10:49.172275,88,89.98,2822,8114,100
2018-02-24 02:10:59.202413,88,90.05,2822,8114,100
2018-02-24 02:11:09.239197,88,90.05,2822,8114,100
2018-02-24 02:11:19.283049,88,90.09,2822,8114,100
2018-02-24 02:11:29.317831,88,90.05,2822,8114,100
2018-02-24 02:11:39.362391,88,89.98,2822,8114,100
2018-02-24 02:11:49.396220,88,90.21,2822,8114,100
2018-02-24 02:11:59.434719,88,90.04,2822,8114,100
2018-02-24 02:12:09.468486,88,90.05,2822,8114,100
2018-02-24 02:12:19.499446,88,90.05,2822,8114,100
2018-02-24 02:12:29.527923,88,90.17,2822,8114,100
2018-02-24 02:12:39.568135,88,90.02,2822,8114,100
2018-02-24 02:12:49.600549,88,90.14,2822,8114,100
2018-02-24 02:12:59.630535,88,90.17,2822,8114,100
2018-02-24 02:13:09.676591,88,90.21,2822,8114,100
2018-02-24 02:13:19.712749,88,90.05,2822,8114,100
2018-02-24 02:13:29.744020,88,90.14,2822,8114,100
2018-02-24 02:13:39.774583,88,90.02,2822,8114,100
2018-02-24 02:13:49.819781,88,90.10,2822,8114,100
2018-02-24 02:13:59.853720,88,90.14,2822,8114,100
2018-02-24 02:14:09.889849,88,90.05,2822,8114,100
2018-02-24 02:14:19.918775,88,90.14,2822,8114,100
2018-02-24 02:14:29.962675,88,90.05,2822,8114,100
2018-02-24 02:14:39.998186,88,90.05,2822,8114,100
2018-02-24 02:14:50.031718,88,90.05,2822,8114,100
2018-02-24 02:15:00.063990,88,90.14,2822,8114,100
2018-02-24 02:15:10.099729,88,90.05,2822,8114,100
2018-02-24 02:15:20.133882,88,90.02,2822,8114,100
2018-02-24 02:15:30.181709,88,89.98,2822,8114,100
2018-02-24 02:15:40.215207,88,90.05,2822,8114,100
2018-02-24 02:15:50.239371,88,90.02,2822,8114,100
2018-02-24 02:16:00.279530,88,90.05,2822,8114,100
2018-02-24 02:16:10.322852,88,90.02,2822,8114,100
2018-02-24 02:16:20.365276,88,90.05,2822,8114,100
2018-02-24 02:16:30.398792,88,90.17,2822,8114,100
2018-02-24 02:16:40.433640,88,90.10,2822,8114,100
2018-02-24 02:16:50.480545,88,90.17,2822,8114,100
2018-02-24 02:17:00.511699,88,90.05,2822,8114,100
2018-02-24 02:17:10.543587,88,90.17,2822,8114,100
2018-02-24 02:17:20.575220,88,90.09,2822,8114,100
2018-02-24 02:17:30.607122,88,90.21,2822,8114,100
2018-02-24 02:17:40.641969,88,90.09,2822,8114,100
2018-02-24 02:17:50.674898,88,90.05,2822,8114,100
2018-02-24 02:18:00.719317,88,89.98,2822,8114,100
2018-02-24 02:18:10.754306,88,89.94,2822,8114,100
2018-02-24 02:18:20.801066,88,89.98,2822,8114,100
2018-02-24 02:18:30.839204,88,90.05,2822,8114,100
2018-02-24 02:18:40.867243,88,90.05,2822,8114,100
2018-02-24 02:18:50.905079,88,90.17,2822,8114,100
2018-02-24 02:19:00.950200,88,90.05,2822,8114,100
2018-02-24 02:19:10.983249,88,90.05,2822,8114,100
2018-02-24 02:19:21.014079,88,90.02,2822,8114,100
2018-02-24 02:19:31.041189,88,89.98,2822,8114,100
2018-02-24 02:19:41.077526,88,90.09,2822,8114,100
2018-02-24 02:19:51.113155,88,90.05,2822,8114,100
2018-02-24 02:20:01.145691,88,90.05,2822,8114,100
2018-02-24 02:20:11.182438,88,90.05,2822,8114,100
2018-02-24 02:20:21.214743,88,90.02,2822,8114,100
2018-02-24 02:20:31.251284,88,90.05,2822,8114,100
2018-02-24 02:20:41.284095,88,90.02,2822,8114,100
2018-02-24 02:20:51.319083,88,89.98,2822,8114,100
2018-02-24 02:21:01.352924,88,89.98,2822,8114,100
2018-02-24 02:21:11.388387,88,90.02,2822,8114,100
2018-02-24 02:21:21.431696,88,90.02,2822,8114,100
2018-02-24 02:21:31.473876,88,90.05,2822,8114,100
2018-02-24 02:21:41.506388,88,89.74,2822,8114,100
2018-02-24 02:21:51.539785,88,90.02,2822,8114,100
2018-02-24 02:22:01.565559,88,90.05,2822,8114,100
2018-02-24 02:22:11.608664,88,89.94,2822,8114,100
2018-02-24 02:22:21.640657,88,90.05,2822,8114,100
